sample_id,split,candidate_id,mixed_path,spk1_path,spk2_path,reference_path,reference_text,reference_spk1,reference_spk2,overlap_ratio,dominance_type,intended_family,expected_winner,route_stress_transform,reference_type,source_utterance_ids,sample_rate,source_pair_key,source_token_split,source_disjoint_split,benchmark_status,has_route_cer,source_reference_verification_status,mixed_cer,separated_cer,cleaned_cer,oracle_route,oracle_cer,route_gap,all_route_mean_cer
controlled_route_sensitive_v2_0033,train,controlled_route_sensitive_v2_candidate_0033,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0033_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0033_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0033_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0033.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 跟8点睡6点起午",你没有多两个小时但是你自己的是不是多两个我可以给你解释,跟8点睡6点起午,0.0,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_011|pro_012,16000,con_011|pro_012,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.371429,0.885714,0.885714,mixed,0.371429,0.514285,0.714286
controlled_route_sensitive_v2_0035,train,controlled_route_sensitive_v2_candidate_0035,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0035_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0035_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0035_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0035.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 上班的時間必定也晚",哪怕自己是刷抖音的自己,上班的時間必定也晚,0.25,speaker_A_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_002|pro_007,16000,con_002|pro_007,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.7,0.25,0.25,separated,0.25,0.0,0.4
controlled_route_sensitive_v2_0038,train,controlled_route_sensitive_v2_candidate_0038,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0038_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0038_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0038_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0038.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 你下班的時間必定也晚",刚觉得晚睡晚起少夜,你下班的時間必定也晚,0.65,speaker_B_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_005|pro_008,16000,con_005|pro_008,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,0.263158,0.263158,separated,0.263158,0.0,0.508772
controlled_route_sensitive_v2_0041,train,controlled_route_sensitive_v2_candidate_0041,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0041.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 那你个人的生活空间必定也就这么点",因为你可以为了身体建立方式,那你个人的生活空间必定也就这么点,0.1,speaker_B_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_008|pro_009,16000,con_008|pro_009,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.137931,1.0,1.0,mixed,0.137931,0.862069,0.712644
controlled_route_sensitive_v2_0044,train,controlled_route_sensitive_v2_candidate_0044,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0044_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0044_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0044_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0044.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",你没有多两个小时但是你自己的是不是多两个我可以给你解释,你是怎么多出额外的时间来过自己的生活的,0.7,balanced,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_011|pro_010,16000,con_011|pro_010,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,1.0,1.0,mixed,1.0,0.0,1.0
controlled_route_sensitive_v2_0046,dev,controlled_route_sensitive_v2_candidate_0046,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0046_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0046_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0046_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0046.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 既然你是晚睡晚起",哪怕自己是刷抖音的自己,既然你是晚睡晚起,0.85,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_002|pro_006,16000,con_002|pro_006,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,0.315789,0.315789,separated,0.315789,0.0,0.543859
controlled_route_sensitive_v2_0049,train,controlled_route_sensitive_v2_candidate_0049,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0049_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0049_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0049_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0049.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 上班的時間必定也晚",刚觉得晚睡晚起少夜,上班的時間必定也晚,0.0,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_005|pro_007,16000,con_005|pro_007,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.722222,1.0,1.0,mixed,0.722222,0.277778,0.907407
controlled_route_sensitive_v2_0052,dev,controlled_route_sensitive_v2_candidate_0052,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0052_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0052_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0052_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0052.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 你下班的時間必定也晚",因为你可以为了身体建立方式,你下班的時間必定也晚,0.3,speaker_A_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_008|pro_008,16000,con_008|pro_008,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,1.0,1.0,mixed,1.0,0.0,1.0
controlled_route_sensitive_v2_0055,train,controlled_route_sensitive_v2_candidate_0055,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0055_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0055_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0055_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0055.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 那你个人的生活空间必定也就这么点",你没有多两个小时但是你自己的是不是多两个我可以给你解释,那你个人的生活空间必定也就这么点,0.35,speaker_A_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_011|pro_009,16000,con_011|pro_009,train|train,train,included_source_disjoint,True,candidate_whisper_small,0.488372,0.186047,0.186047,separated,0.186047,0.0,0.286822
controlled_route_sensitive_v2_0060,dev,controlled_route_sensitive_v2_candidate_0060,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0060_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0060_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0060_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0060.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 既然你是晚睡晚起",刚觉得晚睡晚起少夜,既然你是晚睡晚起,0.7,speaker_B_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_005|pro_006,16000,con_005|pro_006,train|train,train,included_source_disjoint,True,candidate_whisper_small,1.0,1.0,1.0,mixed,1.0,0.0,1.0
controlled_route_sensitive_v2_0063,train,controlled_route_sensitive_v2_candidate_0063,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0063_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0063_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0063_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0063.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 上班的時間必定也晚",因为你可以为了身体建立方式,上班的時間必定也晚,0.55,speaker_B_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_008|pro_007,16000,con_008|pro_007,train|train,train,included_source_disjoint,False,candidate_whisper_small,,,,,,,
controlled_route_sensitive_v2_0066,dev,controlled_route_sensitive_v2_candidate_0066,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0066_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0066_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0066_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0066.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 你下班的時間必定也晚",你没有多两个小时但是你自己的是不是多两个我可以给你解释,你下班的時間必定也晚,0.55,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_011|pro_008,16000,con_011|pro_008,train|train,train,included_source_disjoint,False,candidate_whisper_small,,,,,,,
controlled_route_sensitive_v2_0077,train,controlled_route_sensitive_v2_candidate_0077,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0077_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0077_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0077_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0077.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 既然你是晚睡晚起",你没有多两个小时但是你自己的是不是多两个我可以给你解释,既然你是晚睡晚起,0.15,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_011|pro_006,16000,con_011|pro_006,train|train,train,included_source_disjoint,False,candidate_whisper_small,,,,,,,
controlled_route_sensitive_v2_0095,test,controlled_route_sensitive_v2_candidate_0095,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0095_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0095_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0095_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0095.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 跟8点睡6点起午",因为你可以早睡早起,跟8点睡6点起午,0.55,speaker_A_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_007|pro_012,16000,con_007|pro_012,train|train,train,included_source_disjoint,False,candidate_whisper_small,,,,,,,
controlled_route_sensitive_v2_0106,train,controlled_route_sensitive_v2_candidate_0106,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0106_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0106_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0106_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0106.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 我的意思是2点睡10点起",因为你可以早睡早起,我的意思是2点睡10点起,0.75,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_007|pro_011,16000,con_007|pro_011,train|train,train,included_source_disjoint,False,candidate_whisper_small,,,,,,,
controlled_route_sensitive_v2_0117,train,controlled_route_sensitive_v2_candidate_0117,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0117_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0117_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0117_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0117.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",因为你可以早睡早起,你是怎么多出额外的时间来过自己的生活的,0.05,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_007|pro_010,16000,con_007|pro_010,train|train,train,included_source_disjoint,False,candidate_whisper_small,,,,,,,
