sample_id,tier,overlap_level,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,duplicate_removed_count,separated_unstable,cleaned_closer_to_mixed,notes
SyntheticMidOverlap_05,SyntheticMidOverlap,2,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",2,2,2,25,50,50,2.0,0.702,0.854,0.854,1.216524,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,3,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,3,2,2,27,58,58,2.148148,0.762,0.983,0.983,1.290026,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,3,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,2,2,2,27,51,51,1.888889,0.684,0.828,0.828,1.210526,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,3,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,3,2,2,16,41,41,2.5625,0.675,0.684,0.684,1.013333,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,3,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,2,2,2,16,43,43,2.6875,0.548,0.651,0.651,1.187956,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,3,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,1,2,2,9,50,50,5.555556,0.357,0.757,0.757,2.120448,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,4,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,2,2,2,32,58,58,1.8125,0.804,0.907,0.907,1.128109,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,4,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,1,2,2,18,51,51,2.833333,0.488,0.843,0.843,1.727459,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,4,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,1,2,2,6,46,46,7.666667,0.286,0.753,0.753,2.632867,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,4,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,3,2,2,14,43,43,3.071429,0.497,0.646,0.646,1.299799,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,4,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,1,2,2,19,50,50,2.631579,0.481,0.798,0.798,1.659044,0,True,False,Feature router v2 uses observable instability signals and does not use CER as an input feature. Cleaned transcript is a fallback candidate when separated output appears unstable.
