case_id,overlap_level,strategy,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,repetition_count,duplicate_removed_count,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,cleaned_closer_to_mixed,notes
LightOverlap,1,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Fixed baseline.
LightOverlap,1,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Fixed baseline.
LightOverlap,1,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Fixed baseline.
LightOverlap,1,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Oracle upper bound only; not a deployable strategy.
LightOverlap,1,v1_overlap_only,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
LightOverlap,1,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
LightOverlap,1,repetition_only,separated_whisper_cleaned,"high repetition_count; cleaned transcript looks closer to mixed, so choose cleaned",25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
LightOverlap,1,removed_count_only,separated_whisper_cleaned,"duplicate removal is high and cleaned is closer to mixed, so choose cleaned",25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
LightOverlap,1,length_plus_repetition,separated_whisper_cleaned,"length inflation or repetition is high and cleaned is closer to mixed, so choose cleaned",25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
LightOverlap,1,v2_full_features,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",25,32,26,288,736,622,2.555556,4,6,5.491,6.638,6.638,1.208887,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
MidOverlap,2,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Fixed baseline.
MidOverlap,2,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Fixed baseline.
MidOverlap,2,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Fixed baseline.
MidOverlap,2,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Oracle upper bound only; not a deployable strategy.
MidOverlap,2,v1_overlap_only,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
MidOverlap,2,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
MidOverlap,2,repetition_only,separated_whisper_cleaned,"high repetition_count; cleaned transcript looks closer to mixed, so choose cleaned",28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
MidOverlap,2,removed_count_only,separated_whisper_cleaned,"duplicate removal is high and cleaned is closer to mixed, so choose cleaned",28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
MidOverlap,2,length_plus_repetition,separated_whisper_cleaned,"length inflation or repetition is high and cleaned is closer to mixed, so choose cleaned",28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
MidOverlap,2,v2_full_features,mixed_whisper,"overlap_level in [1,2]; choose mixed_whisper",28,31,27,278,709,626,2.55036,6,4,4.84,5.797,5.797,1.197727,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
NoOverlap,0,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Fixed baseline.
NoOverlap,0,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Fixed baseline.
NoOverlap,0,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Fixed baseline.
NoOverlap,0,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Oracle upper bound only; not a deployable strategy.
NoOverlap,0,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
NoOverlap,0,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
NoOverlap,0,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
NoOverlap,0,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
NoOverlap,0,length_plus_repetition,separated_whisper_cleaned,"length inflation or repetition is high and cleaned is closer to mixed, so choose cleaned",26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
NoOverlap,0,v2_full_features,separated_whisper,overlap_level==0 and mixed transcript is long; keep separated_whisper,26,25,24,280,607,584,2.167857,0,1,8.045,6.877,6.877,0.854817,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
OppositeOverlap,4,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Fixed baseline.
OppositeOverlap,4,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Fixed baseline.
OppositeOverlap,4,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Fixed baseline.
OppositeOverlap,4,oracle_best,oracle_best,oracle upper bound: choose the lowest-CER method per sample/case,24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Oracle upper bound only; not a deployable strategy.
OppositeOverlap,4,v1_overlap_only,separated_whisper,"if overlap_level >= 3, choose separated_whisper",24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
OppositeOverlap,4,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
OppositeOverlap,4,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level >= 3, choose separated_whisper)",24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
OppositeOverlap,4,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level >= 3, choose separated_whisper)",24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
OppositeOverlap,4,length_plus_repetition,separated_whisper_cleaned,"length inflation or repetition is high and cleaned is closer to mixed, so choose cleaned",24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
OppositeOverlap,4,v2_full_features,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper,24,26,25,189,616,593,3.259259,0,1,3.355,5.378,5.378,1.602981,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
