sample_id,route,wav_path,backend,model_size,status,runtime_sec,text,error,asr_status,new_asr_run
controlled_route_sensitive_v2_0043,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk1.wav,faster-whisper,base,ok,0.5878,不太一致我可以跟你解釋,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0043,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk2.wav,faster-whisper,base,ok,0.4751,"好,我先聊完稍微玩",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0043,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk2.wav,faster-whisper,base,ok,1.0629,"[SPEAKER_1] 不太一致我可以跟你解釋
[SPEAKER_2] 好,我先聊完稍微玩",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0043,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk2.wav,faster-whisper,base,ok,1.0629,不太一致我可以跟你解釋好我先聊完稍微玩,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0048,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_mixed.wav,faster-whisper,base,ok,0.3932,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0048,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk1.wav,faster-whisper,base,ok,0.3908,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0048,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk2.wav,faster-whisper,base,ok,0.4201,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0048,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk2.wav,faster-whisper,base,ok,0.8109,"[SPEAKER_1] 
[SPEAKER_2] ",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0048,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk2.wav,faster-whisper,base,ok,0.8109,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0053,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_mixed.wav,faster-whisper,base,ok,1.047,怎么会连水,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0053,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk1.wav,faster-whisper,base,ok,1.0638,搖一碟水,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0053,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk2.wav,faster-whisper,base,ok,0.3782,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0053,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk2.wav,faster-whisper,base,ok,1.442,"[SPEAKER_1] 搖一碟水
[SPEAKER_2] ",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0053,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk2.wav,faster-whisper,base,ok,1.442,搖一碟水,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0054,mixed,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_mixed.wav,faster-whisper,base,ok,0.4658,,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0054,spk1,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk1.wav,faster-whisper,base,ok,0.5277,哦不太一致我可以跟你解釋,,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0054,spk2,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk2.wav,faster-whisper,base,ok,0.5482,"只在讲熬夜嘴的熬夜就是晚睡晚起,是吧",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0054,separated,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk2.wav,faster-whisper,base,ok,1.0759,"[SPEAKER_1] 哦不太一致我可以跟你解釋
[SPEAKER_2] 只在讲熬夜嘴的熬夜就是晚睡晚起,是吧",,existing_faster_whisper_base_reused,False
controlled_route_sensitive_v2_0054,cleaned,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk1.wav|resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk2.wav,faster-whisper,base,ok,1.0759,哦不太一致我可以跟你解釋只在讲熬夜嘴的熬夜就是晚睡晚起是吧,,existing_faster_whisper_base_reused,False
